hospital_id,Hospital_address,city,contact_number,physician_id,Speciality,INSURANCE_provider_name,insurance_provider_id,,,,,,cardiologist
HSID00128018,"3456 Oak St, Threetown, USA",Newtown USA,555-555-5557,PHY05067,oncologist,Bluecross,PID5142,,,,,,
HSID00128019,"3456 Pine St, Anytown, USA",Houston,555-3456-7890,PHY05068,neurologist,Aetna,PID5112,,,,,,
HSID00128020,"5678 Oak St, Los Angeles, CA 90001",New York,555-3456-7890,PHY05069,oncologist,Bluecross,PID5142,,,,,,
HSID00128021,"9012 Pine St, New York, NY 10001",New York,555-555-5555,PHY05070,uralogist,Medicare,PID5132,,,,,,
HSID00128022,"789 Oak St, Los Angeles, CA 90013",Los Angeles,555-987-6543,PHY05071,uralogist,Cigna,PID5122,,,,,,
HSID00128023,"9876 Maple St, Chicago, IL 60601",San Francisco,555-555-7777,PHY05072,oncologist,BlueCross BlueShield,PID5142,,,,,,
HSID00128024,"4567 Cedar Ln, Anytown, USA",Othernewtown,555-555-5559,PHY05073,uralogist,Bluecross,PID5142,,,,,,
HSID00128025,"789 Oak St, Newtown, USA",Los Angeles,555-555-7777,PHY05074,uralogist,Medicare,PID5132,,,,,,
HSID00128026,"4567 Cedar Ln, Anytown, USA",Anytown,555-555-5555,PHY05075,neurologist,Bluecross,PID5142,,,,,,
HSID00128027,"3210 Pine St, Seattle, WA 98101",Chicago,(213) 555-9876,PHY05076,oncologist,BlueCross BlueShield,PID5142,,,,,,
HSID00128028,"7890 Birch St, Atlanta, GA 30303",Chicago,555-555-5557,PHY05077,uralogist,UnitedHealthcare,PID5192,,,,,,
HSID00128029,"7890 Pine St, New York NY 10001",New York,555-555-5559,PHY05078,cardiologist,Medicare,PID5132,,,,,,
HSID00128030,"456 Elm St, Los Angeles, CA 90001",Newtown,555-234-5678,PHY05079,neurologist,Medicare,PID5132,,,,,,
HSID00128031,"3210 Cedar St, Houston, TX 77006",Atlanta,555-345-6789,PHY05080,cardiologist,Cigna,PID5122,,,,,,
HSID00128032,"123 Main St, New York, NY 10001",Otherville USA,555-234-5678,PHY05081,oncologist,Cigna,PID5122,,,,,,
HSID00128033,"123 Main St, Anytown, USA",New York,555-555-7777,PHY05082,oncologist,Aetna,PID5112,,,,,,
HSID00128034,"246 Birch St, Houston, TX 77002, USA",Anytown,555-555-7777,PHY05083,endocrinologist,Medicare,PID5132,,,,,,
HSID00128035,"1234 Pine St, Othernewtown, USA",Chicago,555-555-5557,PHY05084,neurologist,Bluecross,PID5142,,,,,,
HSID00128036,"4567 Maple Ave, Los Angeles CA 90001",Los Angeles,555-3456-7890,PHY05085,cardiologist,Medicare,PID5132,,,,,,
HSID00128037,"9876 Maple Rd, Seattle, WA 98101",Miami,555-555-6666,PHY05086,endocrinologist,Cigna,PID5122,,,,,,
HSID00128038,"5678 Oak Ave, New York, NY 10001",New York,555-2222-3333,PHY05087,endocrinologist,Unitedhealthcare,PID5192,,,,,,
HSID00128039,"123 Main St, Anytown USA 12345",Chicago,555-555-5557,PHY05088,uralogist,Cigna,PID5122,,,,,,
HSID00128040,"789 Oak St, Los Angeles, CA 90013",Houston,555-555-5555,PHY05089,neurologist,Cigna,PID5122,,,,,,
HSID00128041,"9876 Elm St, Miami, FL",Houston,555-987-6543,PHY05090,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128042,"1234 Elm St, Los Angeles, CA 90001",San Francisco,555-9876-5432,PHY05091,uralogist,Aetna,PID5112,,,,,,
HSID00128043,"4567 Maple St, Miami, FL 33101",Chicago,555-555-1234,PHY05092,neurologist,Bluecross,PID5142,,,,,,
HSID00128044,"1234 Elm St, Los Angeles, CA 90001",Anytown USA,555-3456-7890,PHY05093,uralogist,Bluecross,PID5142,,,,,,
HSID00128045,"4567 Oak Ave, San Francisco, CA 94110",Anytown,555-987-6543,PHY05094,uralogist,Medicare,PID5132,,,,,,
HSID00128046,"135 Elm St, Boston, MA 02115",Seattle,555-123-4567,PHY05095,uralogist,Bluecross,PID5142,,,,,,
HSID00128047,"1234 Main St, San Francisco, CA 94114",Seattle,555-345-7890,PHY05096,cardiologist,Bluecross,PID5142,,,,,,
HSID00128048,"456 Oak St, Otherville USA",Atlanta,555-555-5558,PHY05097,uralogist,Bluecross,PID5142,,,,,,
HSID00128049,"9012 Pine St, Chicago, IL 60601",Anytown USA,555-555-5555,PHY05098,cardiologist,Aetna,PID5112,,,,,,
HSID00128050,"123 Main St, New York, NY 10001",San Francisco,555-987-6543,PHY05099,neurologist,Unitedhealthcare,PID5192,,,,,,
HSID00128051,"1357 Main St, New York, NY",Atlanta,555-555-5555,PHY05100,cardiologist,Unitedhealthcare,PID5192,,,,,,
HSID00128052,"123 Oak St, Chicago, IL 60601, USA",Seattle,555-555-8888,PHY05101,neurologist,Aetna,PID5112,,,,,,
HSID00128053,"123 Maple St, San Francisco, CA 94110",Chicago,555-2345-6789,PHY05102,neurologist,Cigna,PID5122,,,,,,
HSID00128054,"7890 Maple St, Fourtown, USA",New York,555-345-6789,PHY05103,uralogist,Aetna,PID5112,,,,,,
HSID00128055,"789 Oak St, Newtown, USA",Anytown,555-555-5556,PHY05104,cardiologist,Cigna,PID5122,,,,,,
HSID00128056,"321 Elm St, San Francisco CA 94109",Othertown,555-555-5559,PHY05105,neurologist,Aetna,PID5112,,,,,,
HSID00128057,"5678 Elm St, Denver, CO 80202",Los Angeles,555-234-5678,PHY05106,uralogist,Cigna,PID5122,,,,,,
HSID00128058,"5678 Oak Ave, New York, NY 10001",San Francisco,555-6789-0123,PHY05107,uralogist,Cigna,PID5122,,,,,,
HSID00128059,"246 Walnut St, Chicago, IL 60601",Los Angeles,555-555-5555,PHY05108,neurologist,Aetna,PID5112,,,,,,
HSID00128060,"123 Main St, Anytown USA 12345",Anytown,555-555-5555,PHY05109,cardiologist,Bluecross,PID5142,,,,,,
HSID00128061,"456 Oak St, Anytown USA 23456",Los Angeles,555-555-8888,PHY05110,endocrinologist,Cigna,PID5122,,,,,,
HSID00128062,"5678 Maple Ave, Chicago, IL",New York,555-123-4567,PHY05111,endocrinologist,Aetna,PID5112,,,,,,
HSID00128063,"5678 Elm St, Anytown, USA",Newtown2,555-555-5555,PHY05112,uralogist,Cigna,PID5122,,,,,,
HSID00128064,"789 Oak St, Chicago, IL 60601",Newtown,555-987-6543,PHY05113,endocrinologist,Unitedhealthcare,PID5192,,,,,,
HSID00128065,"7890 Maple St, Fourtown, USA",Houston,555-555-5558,PHY05114,neurologist,UnitedHealthcare,PID5192,,,,,,
HSID00128066,"456 Elm St, Othertown, USA",Denver,555-555-5556,PHY05115,cardiologist,Medicare,PID5132,,,,,,
HSID00128067,"4567 Maple St, Miami, FL 33101",Chicago,555-123-4567,PHY05116,endocrinologist,Aetna,PID5112,,,,,,
HSID00128068,"456 Elm St, Othertown, USA",Denver,555-234-5678,PHY05117,neurologist,Cigna,PID5122,,,,,,
HSID00128069,"5678 Maple Ave, Anytown, USA",Los Angeles,555-555-5556,PHY05118,endocrinologist,Cigna,PID5122,,,,,,
HSID00128070,"4567 Oak Ave, Los Angeles, CA 90012",Othertown,555-1234-5678,PHY05119,neurologist,Bluecross,PID5142,,,,,,
HSID00128071,"3210 Pine St, Boston, MA 02108",Chicago,555-555-5558,PHY05120,oncologist,Aetna,PID5112,,,,,,
HSID00128072,"5678 Elm St, Denver, CO 80202",Los Angeles,555-555-5555,PHY05121,cardiologist,Cigna,PID5122,,,,,,
HSID00128073,"1357 Main St, New York, NY",Anytown,555-555-5558,PHY05122,oncologist,Bluecross,PID5142,,,,,,
HSID00128074,"321 Elm St, San Francisco CA 94109",Los Angeles,555-555-5557,PHY05123,cardiologist,Bluecross,PID5142,,,,,,
HSID00128075,"7890 Pine St, New York, NY 10001",Anytown USA,555-1234-5678,PHY05124,cardiologist,Unitedhealthcare,PID5192,,,,,,
HSID00128076,"1234 Maple St, Los Angeles, CA 90001",Anytown,555-555-5555,PHY05125,uralogist,Cigna,PID5122,,,,,,
HSID00128077,"246 Pine St, Seattle, WA 98101",San Diego,555-555-5555,PHY05126,endocrinologist,BlueCross BlueShield,PID5142,,,,,,
HSID00128078,"789 Elm St, Newtown USA",Seattle,555-555-5559,PHY05127,oncologist,Bluecross,PID5142,,,,,,
HSID00128079,"1234 Elm St, Atlanta, GA 30303",San Francisco,612-555-1234,PHY05128,neurologist,Bluecross,PID5142,,,,,,
HSID00128080,"321 Pine St, Otherville USA",New York,555-555-5558,PHY05129,oncologist,Bluecross,PID5142,,,,,,
HSID00128081,"456 Elm St, Othertown, USA",Los Angeles,555-555-7777,PHY05130,cardiologist,Bluecross,PID5142,,,,,,
HSID00128082,"456 Elm St, Los Angeles, CA 90001",Los Angeles,555-1111-2222,PHY05131,oncologist,Medicare,PID5132,,,,,,
HSID00128083,"7890 Maple St, Fourtown, USA",San Francisco,555-345-6789,PHY05132,neurologist,UnitedHealthcare,PID5192,,,,,,
HSID00128084,"1234 Elm St, Los Angeles, CA 90001",San Francisco,555-555-5555,PHY05133,uralogist,Aetna,PID5112,,,,,,
HSID00128085,"246 Birch St, Houston, TX 77002, USA",Boston,555-555-5555,PHY05134,oncologist,Cigna,PID5122,,,,,,
HSID00128086,"1234 Elm St, Minneapolis, MN 55405",Othertown,555-2345-6789,PHY05135,uralogist,Cigna,PID5122,,,,,,
HSID00128087,"222 Pine St, Anytown, USA",Newtown2,555-555-5558,PHY05136,oncologist,Unitedhealthcare,PID5192,,,,,,
HSID00128088,"123 Main St, Anytown, USA",Anytown,555-555-5559,PHY05137,cardiologist,Cigna,PID5122,,,,,,
HSID00128089,"3456 Pine St, Anytown, USA",Anytown,555-9876-5432,PHY05138,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128090,"1234 Oak Ave, San Diego CA 92109",Chicago,617-555-2345,PHY05139,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128091,"7890 Pine St, New York, NY 10001",Denver,555-555-1234,PHY05140,oncologist,Cigna,PID5122,,,,,,
HSID00128092,"7890 Maple St, Fourtown, USA",Seattle,555-567-8901,PHY05141,cardiologist,Medicare,PID5132,,,,,,
HSID00128093,"456 Maple St, Los Angeles CA 90001",Chicago,555-555-5559,PHY05142,neurologist,Bluecross,PID5142,,,,,,
HSID00128094,"1234 Elm St, Minneapolis, MN 55405",New York,555-555-5558,PHY05143,oncologist,Medicare,PID5132,,,,,,
HSID00128095,"789 Oak St, Newtown, USA",Boston,555-555-5555,PHY05144,uralogist,Aetna,PID5112,,,,,,
HSID00128096,"1234 Oak St, Chicago IL 60601",Los Angeles,555-1234-5678,PHY05145,neurologist,Medicare,PID5132,,,,,,
HSID00128097,"7654 Cedar Rd, Denver, CO 80206",Seattle,555-555-5555,PHY05146,uralogist,Bluecross,PID5142,,,,,,
HSID00128098,"5678 Elm St, Denver, CO 80202",Threetown,555-345-6789,PHY05147,neurologist,Cigna,PID5122,,,,,,
HSID00128099,"123 Main St, Anytown USA 12345",San Francisco,555-555-5555,PHY05148,oncologist,Bluecross,PID5142,,,,,,
HSID00128100,"9012 Oak Rd, Anytown, USA",Anytown,(646) 555-3456,PHY05149,oncologist,Cigna,PID5122,,,,,,
HSID00128101,"456 Elm St, Othertown, USA",Boston,555-555-5557,PHY05150,oncologist,Bluecross,PID5142,,,,,,
HSID00128102,"1234 Elm St, Los Angeles, CA 90001",Anytown,(832) 555-6789,PHY05151,neurologist,Bluecross,PID5142,,,,,,
HSID00128103,"101 Maple Ave, Anytown USA 45678",New York,555-555-5555,PHY05152,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128104,"3210 Pine St, Boston, MA 02108",San Francisco,555-345-7890,PHY05153,cardiologist,Bluecross,PID5142,,,,,,
HSID00128105,"5678 Pine St, New York, NY 10001",Othertown,555-345-6789,PHY05154,neurologist,Unitedhealthcare,PID5192,,,,,,
HSID00128106,"789 Oak St, Anytown, USA",Chicago,555-555-5555,PHY05155,neurologist,Bluecross,PID5142,,,,,,
HSID00128107,"246 Birch St, Houston, TX 77002, USA",San Diego,555-123-4567,PHY05156,endocrinologist,Cigna,PID5122,,,,,,
HSID00128108,"1357 Elm St, Seattle WA 98101",Minneapolis,(786) 555-7654,PHY05157,neurologist,Cigna,PID5122,,,,,,
HSID00128109,"456 Oak St, Otherville USA",Los Angeles,555-1234567,PHY05158,endocrinologist,Cigna,PID5122,,,,,,
HSID00128110,"4567 Maple St, Miami, FL 33101",Newtown,555-555-5555,PHY05159,neurologist,Cigna,PID5122,,,,,,
HSID00128111,"789 Maple St, New York, NY 10001, USA",Houston,555-555-5555,PHY05160,uralogist,Unitedhealthcare,PID5192,,,,,,
HSID00128112,"4567 Oak Ave, San Francisco, CA 94110",San Francisco,555-222-3333,PHY05161,neurologist,Unitedhealthcare,PID5192,,,,,,
HSID00128113,"4567 Cedar Ln, Anytown, USA",Newtown USA,555-555-5555,PHY05162,neurologist,Cigna,PID5122,,,,,,
HSID00128114,"5678 Oak St, Los Angeles, CA 90001",Miami,555-345-7890,PHY05163,cardiologist,Cigna,PID5122,,,,,,
HSID00128115,"1234 Oak St, Chicago IL 60601",Los Angeles,555-987-6543,PHY05164,uralogist,Cigna,PID5122,,,,,,
HSID00128116,"9012 Oak Rd, Anytown, USA",Miami,555-1234-5678,PHY05165,oncologist,Cigna,PID5122,,,,,,
HSID00128117,"246 Walnut St, Chicago, IL 60601",Boston,555-555-5557,PHY05166,uralogist,Cigna,PID5122,,,,,,
HSID00128118,"3456 Oak St, Threetown, USA",Los Angeles,555-555-5557,PHY05167,cardiologist,Cigna,PID5122,,,,,,
HSID00128119,"123 Main St, Anytown USA",Threetown,555-987-6543,PHY05168,neurologist,Medicare,PID5132,,,,,,
HSID00128120,"3456 Oak Ave, Los Angeles, CA 90012",Threetown,555-987-6543,PHY05169,cardiologist,Bluecross,PID5142,,,,,,
HSID00128121,"7890 Pine St, New York, NY 10001",Seattle,555-7890-1234,PHY05170,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128122,"5678 Maple Ave, Chicago, IL",Los Angeles,555-987-6543,PHY05171,neurologist,Medicare,PID5132,,,,,,
HSID00128123,"9012 Oak St, Anytown, USA",Miami,555-555-5559,PHY05172,neurologist,Medicare,PID5132,,,,,,
HSID00128124,"1012 Pine St, Chicago, IL 60601",Los Angeles,555-987-6543,PHY05173,endocrinologist,Aetna,PID5112,,,,,,
HSID00128125,"5678 Pine St, Fivetown, USA",San Francisco,555-234-5678,PHY05174,uralogist,Bluecross,PID5142,,,,,,
HSID00128126,"789 Pine St, Anytown USA 34567",Miami,555-555-5559,PHY05175,cardiologist,Bluecross,PID5142,,,,,,
HSID00128127,"101 Maple St, Anytown, USA",New York,555-555-6666,PHY05176,uralogist,Cigna,PID5122,,,,,,
HSID00128128,"246 Walnut St, Chicago, IL 60601",Seattle,555-555-5558,PHY05177,oncologist,Unitedhealthcare,PID5192,,,,,,
HSID00128129,"3210 Cedar St, Houston, TX 77006",San Francisco,555-222-3333,PHY05178,cardiologist,Cigna,PID5122,,,,,,
HSID00128130,"7654 Cedar Rd, Denver, CO 80206",Denver,555-555-5559,PHY05179,oncologist,Bluecross,PID5142,,,,,,
HSID00128131,"5678 Pine St, New York, NY 10001",Othertown,555-555-5555,PHY05180,uralogist,Medicare,PID5132,,,,,,
HSID00128132,"222 Pine St, Anytown, USA",Seattle,555-9876-5432,PHY05181,uralogist,Cigna,PID5122,,,,,,
HSID00128133,"4567 Oak Ave, Los Angeles, CA 90012",New York,555-555-5556,PHY05182,neurologist,Bluecross,PID5142,,,,,,
HSID00128134,"789 Elm St, Newtown USA",Miami,555-555-5557,PHY05183,cardiologist,Bluecross,PID5142,,,,,,
HSID00128135,"1234 Oak St, Chicago IL 60601",Anytown,555-123-4567,PHY05184,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128136,"101 Maple St, Anytown, USA",Los Angeles,555-345-7890,PHY05185,cardiologist,Cigna,PID5122,,,,,,
HSID00128137,"321 Elm St, San Francisco CA 94109",Los Angeles,555-555-5559,PHY05186,neurologist,Bluecross,PID5142,,,,,,
HSID00128138,"5678 Pine St, New York, NY 10001",Fourtown,555-555-5557,PHY05187,neurologist,Cigna,PID5122,,,,,,
HSID00128139,"1234 Maple St, Anytown, USA",Othertown,555-345-7890,PHY05188,uralogist,Bluecross,PID5142,,,,,,
HSID00128140,"5678 Maple Ave, Chicago, IL",Anytown USA,555-555-5555,PHY05189,cardiologist,UnitedHealthcare,PID5192,,,,,,
HSID00128141,"456 Oak St, Miami, FL 33101",Seattle,555-555-5555,PHY05190,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128142,"9012 Oak St, Chicago, IL 60601",Seattle,555-555-5555,PHY05191,endocrinologist,Medicare,PID5132,,,,,,
HSID00128143,"1234 Elm St, Minneapolis, MN 55405",San Francisco,303-555-6789,PHY05192,uralogist,BlueCross BlueShield,PID5142,,,,,,
HSID00128144,"456 Elm St, Anytown, USA",Chicago,555-555-5555,PHY05193,endocrinologist,Cigna,PID5122,,,,,,
HSID00128145,"7890 Maple St, Fourtown, USA",Fivetown,206-555-7890,PHY05194,oncologist,Medicare,PID5132,,,,,,
HSID00128146,"135 Maple St, Boston, MA 02108",Seattle,555-555-7777,PHY05195,uralogist,Bluecross,PID5142,,,,,,
HSID00128147,"123 Main St, New York, NY 10001",Othertown,555-555-5555,PHY05196,cardiologist,Cigna,PID5122,,,,,,
HSID00128148,"3456 Maple St, Chicago, IL 60601",Anytown,555-2345-6789,PHY05197,oncologist,Cigna,PID5122,,,,,,
HSID00128149,"5678 Oak Ave, New York, NY 10001",Seattle,555-2345-6789,PHY05198,uralogist,UnitedHealthcare,PID5192,,,,,,
HSID00128150,"456 Pine St, New York, NY 10012",Houston,555-555-5557,PHY05199,neurologist,Bluecross,PID5142,,,,,,
HSID00128151,"101 Maple St, Anytown, USA",Chicago,305-555-4567,PHY05200,oncologist,Bluecross,PID5142,,,,,,
HSID00128152,"456 Elm St, Anytown, USA",New York,555-555-5555,PHY05201,oncologist,Medicare,PID5132,,,,,,
HSID00128153,"789 Oak St, Anytown, USA",San Francisco,555-555-5559,PHY05202,oncologist,Cigna,PID5122,,,,,,
HSID00128154,"456 Maple St, Los Angeles CA 90001",Minneapolis,555-555-5555,PHY05203,cardiologist,Aetna,PID5112,,,,,,
HSID00128155,"1234 Oak St, Los Angeles, CA 90001",New York,555-345-7890,PHY05204,cardiologist,Medicare,PID5132,,,,,,
HSID00128156,"3210 Cedar St, Houston, TX 77006",Atlanta,555-234-5678,PHY05205,endocrinologist,Medicare,PID5132,,,,,,
HSID00128157,"7890 Cedar St, Anytown, USA",New York,(213) 555-9876,PHY05206,neurologist,Cigna,PID5122,,,,,,
HSID00128158,"789 Maple St, New York, NY 10001, USA",New York,206-555-7890,PHY05207,neurologist,Bluecross,PID5142,,,,,,
HSID00128159,"456 Oak St, Otherville USA",Newtown USA,555-345-6789,PHY05208,endocrinologist,Aetna,PID5112,,,,,,
HSID00128160,"7890 Birch St, Atlanta, GA 30303",Chicago,555-555-5555,PHY05209,oncologist,Medicare,PID5132,,,,,,
HSID00128161,"1234 Elm St, Los Angeles, CA 90001",Seattle,555-555-8888,PHY05210,uralogist,Cigna,PID5122,,,,,,
HSID00128162,"5678 Elm St, Denver, CO 80202",Miami,555-555-5558,PHY05211,cardiologist,Aetna,PID5112,,,,,,
HSID00128163,"4567 Oak Ave, Los Angeles, CA 90012",New York,555-987-6543,PHY05212,neurologist,Cigna,PID5122,,,,,,
HSID00128164,"9876 Elm St, Miami, FL",New York,206-555-7890,PHY05213,endocrinologist,Aetna,PID5112,,,,,,
HSID00128165,"7890 Pine St, Seattle, WA 98101",Seattle,303-555-6789,PHY05214,neurologist,Bluecross,PID5142,,,,,,
HSID00128166,"3210 Pine St, Anytown, USA",Fourtown,555-555-5555,PHY05215,cardiologist,Cigna,PID5122,,,,,,
HSID00128167,"456 Pine St, Los Angeles, CA 90001, USA",Seattle,555-345-6789,PHY05216,neurologist,Cigna,PID5122,,,,,,
HSID00128168,"5678 Maple Ave, Chicago, IL",Miami,303-555-6789,PHY05217,neurologist,Aetna,PID5112,,,,,,
HSID00128169,"7654 Cedar Rd, Denver, CO 80206",New York,555-555-5555,PHY05218,uralogist,Cigna,PID5122,,,,,,
HSID00128170,"4567 Maple Ave, Los Angeles CA 90001",Houston,555-1234567,PHY05219,oncologist,Medicare,PID5132,,,,,,
HSID00128171,"7890 Maple St, New York, NY 10005",Los Angeles,555-555-5556,PHY05220,uralogist,BlueCross BlueShield,PID5142,,,,,,
HSID00128172,"9876 Maple St, Chicago, IL 60601",Anytown,555-555-5559,PHY05221,endocrinologist,Aetna,PID5112,,,,,,
HSID00128173,"567 Maple St, Newtown2, USA",New York,555-555-5555,PHY05222,cardiologist,UnitedHealthcare,PID5192,,,,,,
HSID00128174,"321 Elm St, San Francisco CA 94109",Anytown,206-555-7890,PHY05223,cardiologist,Bluecross,PID5142,,,,,,
HSID00128175,"456 Pine St, Los Angeles, CA 90001, USA",Denver,555-9876-5432,PHY05224,neurologist,Cigna,PID5122,,,,,,
HSID00128176,"1234 Elm St, Los Angeles, CA 90001",Houston,555-1234-5678,PHY05225,neurologist,Aetna,PID5112,,,,,,
HSID00128177,"1234 Maple St, Los Angeles, CA 90001",Chicago,555-555-5555,PHY05226,oncologist,Aetna,PID5112,,,,,,
HSID00128178,"123 Main St, Anytown USA 12345",Boston,555-6789-0123,PHY05227,neurologist,Cigna,PID5122,,,,,,
HSID00128179,"9012 Oak St, Anytown, USA",Newtown,555-234-5678,PHY05228,uralogist,Bluecross,PID5142,,,,,,
HSID00128180,"1357 Main St, New York, NY",Othertown,555-555-5555,PHY05229,endocrinologist,BlueCross BlueShield,PID5142,,,,,,
HSID00128181,"4567 Cedar Ln, Anytown, USA",Denver,555-555-5558,PHY05230,cardiologist,Bluecross,PID5142,,,,,,
HSID00128182,"3456 Pine St, Anytown, USA",Fourtown,555-555-5555,PHY05231,cardiologist,Aetna,PID5112,,,,,,
HSID00128183,"1234 Main St, Anytown, USA",Boston,555-123-4567,PHY05232,uralogist,Cigna,PID5122,,,,,,
HSID00128184,"6789 Elm St, Othertown, USA",Los Angeles,555-987-6543,PHY05233,oncologist,Aetna,PID5112,,,,,,
HSID00128185,"1012 Pine St, Chicago, IL 60601",Seattle,555-555-5555,PHY05234,neurologist,Unitedhealthcare,PID5192,,,,,,
HSID00128186,"1234 Elm St, Atlanta, GA 30303",Anytown,555-555-5555,PHY05235,endocrinologist,Aetna,PID5112,,,,,,
HSID00128187,"789 Oak St, Anytown, USA",San Francisco,555-555-5555,PHY05236,uralogist,Cigna,PID5122,,,,,,
HSID00128188,"789 Oak St, Chicago, IL 60601",Newtown USA,555-555-5555,PHY05237,endocrinologist,Cigna,PID5122,,,,,,
HSID00128189,"789 Pine St, Anytown USA 34567",Miami,555-555-5555,PHY05238,uralogist,BlueCross BlueShield,PID5142,,,,,,
HSID00128190,"246 Walnut St, Chicago, IL 60601",Chicago,555-555-5558,PHY05239,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128191,"7890 Birch St, Houston, TX 77001",New York,555-6789-0123,PHY05240,neurologist,Cigna,PID5122,,,,,,
HSID00128192,"456 Elm St, Othertown, USA",Los Angeles,555-555-5556,PHY05241,uralogist,Cigna,PID5122,,,,,,
HSID00128193,"7890 Pine St, New York, NY 10001",Anytown USA,305-555-4567,PHY05242,uralogist,Aetna,PID5112,,,,,,
HSID00128194,"1357 Main St, New York, NY",Los Angeles,555-987-6543,PHY05243,cardiologist,Medicare,PID5132,,,,,,
HSID00128195,"1234 Oak Ave, San Diego CA 92109",Otherville USA,555-987-6543,PHY05244,endocrinologist,Bluecross,PID5142,,,,,,
HSID00128196,"567 Maple St, Newtown2, USA",Houston,555-555-5559,PHY05245,oncologist,Bluecross,PID5142,,,,,,
HSID00128197,"3456 Oak St, Threetown, USA",Chicago,(312) 555-1234,PHY05246,uralogist,Cigna,PID5122,,,,,,
HSID00128198,"5678 Elm St, Anytown, USA",Chicago,555-555-5556,PHY05247,uralogist,Aetna,PID5112,,,,,,
HSID00128199,"9012 Pine St, Chicago, IL 60601",Seattle,555-555-5558,PHY05248,cardiologist,UnitedHealthcare,PID5192,,,,,,
HSID00128200,"7890 Pine St, Seattle, WA 98101",Chicago,555-3456-7890,PHY05249,cardiologist,Cigna,PID5122,,,,,,
HSID00128201,"1234 Elm St, Anytown, USA",Miami,555-555-5559,PHY05250,cardiologist,Medicare,PID5132,,,,,,
HSID00128202,"1234 Elm St, Los Angeles, CA 90001",Anytown,555-555-5555,PHY05251,oncologist,Cigna,PID5122,,,,,,
HSID00128203,"5678 Oak Ave, Miami, FL 33109",San Francisco,555-345-7890,PHY05252,cardiologist,Medicare,PID5132,,,,,,
HSID00128204,"9012 Oak St, Chicago, IL 60601",Miami,303-555-6789,PHY05253,oncologist,Bluecross,PID5142,,,,,,
HSID00128205,"456 Pine St, New York, NY 10012",Otherville USA,555-987-6543,PHY05254,oncologist,UnitedHealthcare,PID5192,,,,,,
HSID00128206,"123 Main St, Anytown USA 12345",Los Angeles,555-987-6543,PHY05255,oncologist,Aetna,PID5112,,,,,,
HSID00128207,"456 Maple St, Los Angeles CA 90001",Atlanta,555-3456-7890,PHY05256,oncologist,Bluecross,PID5142,,,,,,
